note_type,note,velocity,time
note_on,64,69,0
note_on,62,65,0.984630823135
note_on,60,51,0.753873109818
note_on,62,70,0.458348989487
note_on,64,47,0.498277902603
note_on,64,55,0.208312988281
note_on,64,61,0.167541027069
note_on,62,45,1.32402801514
note_on,62,72,0.20570397377
note_on,62,66,0.176685094833
note_on,64,30,3.80274486542
note_on,67,35,0.59247803688
note_on,67,67,0.189977169037
note_on,64,62,2.24488997459
note_on,62,25,1.18061494827
note_on,60,60,0.425392150879
note_on,62,22,0.563047885895
note_on,64,34,0.466048002243
note_on,64,44,0.435143947601
note_on,64,48,0.379476070404
note_on,64,32,0.29629611969
note_on,62,49,0.378945112228
note_on,60,58,1.24141478539
note_on,67,38,0.91718006134
