,0
0,note_on channel=0 note=64 velocity=77 time=0
1,note_off channel=0 note=64 velocity=0 time=0
2,note_on channel=0 note=62 velocity=66 time=0
3,note_off channel=0 note=62 velocity=0 time=0
4,note_on channel=0 note=60 velocity=74 time=0
5,note_off channel=0 note=60 velocity=0 time=0
6,note_on channel=0 note=62 velocity=79 time=0
7,note_off channel=0 note=62 velocity=0 time=0
8,note_on channel=0 note=64 velocity=71 time=0
9,note_off channel=0 note=64 velocity=0 time=0
10,note_on channel=0 note=64 velocity=72 time=0
11,note_off channel=0 note=64 velocity=0 time=0
12,note_on channel=0 note=64 velocity=80 time=0
13,note_off channel=0 note=64 velocity=0 time=0
14,note_on channel=0 note=62 velocity=67 time=0
15,note_off channel=0 note=62 velocity=0 time=0
16,note_on channel=0 note=62 velocity=70 time=0
17,note_off channel=0 note=62 velocity=0 time=0
18,note_on channel=0 note=62 velocity=77 time=0
19,note_off channel=0 note=62 velocity=0 time=0
20,note_on channel=0 note=60 velocity=64 time=0
21,note_off channel=0 note=60 velocity=0 time=0
22,note_on channel=0 note=60 velocity=53 time=0
23,note_off channel=0 note=60 velocity=0 time=0
24,note_on channel=0 note=64 velocity=82 time=0
25,note_off channel=0 note=64 velocity=0 time=0
26,note_on channel=0 note=62 velocity=53 time=0
27,note_off channel=0 note=62 velocity=0 time=0
28,note_on channel=0 note=60 velocity=77 time=0
29,note_off channel=0 note=60 velocity=0 time=0
30,note_on channel=0 note=62 velocity=70 time=0
31,note_off channel=0 note=62 velocity=0 time=0
32,note_on channel=0 note=64 velocity=72 time=0
33,note_off channel=0 note=64 velocity=0 time=0
34,note_on channel=0 note=64 velocity=55 time=0
35,note_off channel=0 note=64 velocity=0 time=0
36,note_on channel=0 note=64 velocity=79 time=0
37,note_off channel=0 note=64 velocity=0 time=0
38,note_on channel=0 note=62 velocity=76 time=0
39,note_off channel=0 note=62 velocity=0 time=0
40,note_on channel=0 note=62 velocity=70 time=0
41,note_off channel=0 note=62 velocity=0 time=0
42,note_on channel=0 note=62 velocity=46 time=0
43,note_off channel=0 note=62 velocity=0 time=0
44,note_on channel=0 note=67 velocity=67 time=0
45,note_off channel=0 note=67 velocity=0 time=0
46,note_on channel=0 note=65 velocity=46 time=0
47,note_off channel=0 note=65 velocity=0 time=0
48,note_on channel=0 note=67 velocity=76 time=0
49,note_off channel=0 note=67 velocity=0 time=0
50,note_on channel=0 note=64 velocity=55 time=0
51,note_off channel=0 note=64 velocity=0 time=0
52,note_on channel=0 note=64 velocity=74 time=0
53,note_on channel=0 note=62 velocity=64 time=0
54,note_off channel=0 note=64 velocity=0 time=0
55,note_off channel=0 note=62 velocity=0 time=0
56,note_on channel=0 note=60 velocity=77 time=0
57,note_off channel=0 note=60 velocity=0 time=0
58,note_on channel=0 note=62 velocity=70 time=0
59,note_off channel=0 note=62 velocity=0 time=0
60,note_on channel=0 note=64 velocity=73 time=0
61,note_off channel=0 note=64 velocity=0 time=0
62,note_on channel=0 note=64 velocity=59 time=0
63,note_off channel=0 note=64 velocity=0 time=0
64,note_on channel=0 note=64 velocity=76 time=0
65,note_off channel=0 note=64 velocity=0 time=0
66,note_on channel=0 note=64 velocity=65 time=0
67,note_off channel=0 note=64 velocity=0 time=0
68,note_on channel=0 note=67 velocity=29 time=0
69,note_off channel=0 note=67 velocity=0 time=0
70,note_on channel=0 note=66 velocity=80 time=0
71,note_off channel=0 note=66 velocity=0 time=0
72,note_on channel=0 note=62 velocity=25 time=0
73,note_off channel=0 note=62 velocity=0 time=0
74,note_on channel=0 note=60 velocity=83 time=0
75,note_off channel=0 note=60 velocity=0 time=0
