note_type,note,velocity,time
note_on,64,77,0
note_on,62,74,0.14612197876
note_on,60,64,0.141004800797
note_on,62,70,0.343837022781
note_on,64,79,0.334373950958
note_on,64,77,0.171290874481
note_on,64,74,0.193769216537
note_on,64,65,0.446521043777
note_on,60,67,3.99186182022
note_on,64,70,0.736767053604
note_on,64,65,2.52555704117
note_on,62,70,0.151933193207
note_on,60,56,1.25826787949
note_on,62,57,0.462858915329
note_on,64,57,0.650806188583
note_on,64,59,0.23371720314
note_on,64,63,0.247701883316
note_on,67,1,1.68401908875
note_on,67,58,0.690707206726
note_on,64,49,0.265084028244
note_on,62,57,0.259634971619
note_on,60,50,0.30372095108
